0
C11orf63
RBM15
PXN
KLF1
ANGEL2
HPGDS
PRG4
DUSP7
EPC2
KCNMB1
RCOR3
MPC1
PQLC3
WBP11
CMBL
UTY
NSUN4
TMTC3
C12orf40
EXOSC8
PDGFB
TTC13
Unnamed: 17712
Unnamed: 11275
PLXNA2
TSPAN12
AUTS2
DNAJA4
C19orf21
NUPL1
ZNF280C
OSBPL10
TAOK3
GPRC5A
GALNTL5
GABRB2
SP6
Unnamed: 17279
UCHL5
FLNB
ZBTB5
MRPL4
KIF16B
SYNPR
GRPEL2
WDR41
FBXO40
HIGD1C
Unnamed: 17730
NFYC
OR4D11
CLN5
YARS
PNPLA3
INTS6
IQCD
NAT16
Unnamed: 16896
STRA8
ATP13A3
ARHGEF2
GLCCI1
RNFT2
CNTN3
PMEL
USP24
SLC35E3
CYP26B1
NMBR
ANKRD34B
XPO4
CLDN18
HEPACAM
C7orf53
ZCCHC14
NUDCD2
L3MBTL4
NTRK1
OR9A2
IL3
GRM1
CDK8
FASLG
C1orf222
GTPBP2
Unnamed: 11581
CCDC142
LARS
EDDM3A
COL22A1
PALD1
GBA2
AMZ1
INCA1
SRSF9
TNK2
HEATR3
INTS7
LIN9
ZNF860
