Drug,Gene
AGI-5198,SLFN13
AGI-5198,C9orf139
AGI-5198,MGST2
AGI-5198,WDR7
AGI-5198,PRKAA1
AGI-5198,CHCHD5
AGI-5198,XPO6
AGI-5198,OR10A7
AGI-5198,P2RY8
AGI-5198,SDC2
AGI-5198,CCM2
AGI-5198,S1PR4
AGI-5198,DRAP1
AGI-5198,DNTT
AGI-5198,NDUFAF2
AGI-5198,ESYT3
AGI-5198,FAM183B
AGI-5198,ZSCAN4
AGI-5198,CHN1
AGI-5198,IGFL2
AGI-5198,INO80
AGI-5198,PTCD2
AGI-5198,KY
AGI-5198,P2RX7
AGI-5198,SIGLEC7
AGI-5198,IGJ
AGI-5198,C14orf183
AGI-5198,ST6GALNAC1
AGI-5198,BIVM
AGI-5198,ZNF473
AGI-5198,ARL2BP
AGI-5198,PROKR1
AGI-5198,TERF2IP
AGI-5198,GRIN2D
AGI-5198,BTF3
AGI-5198,TCEANC2
AGI-5198,CALML5
AGI-5198,GJB3
AGI-5198,ODF3B
AGI-5198,EPHB2
AGI-5198,IGLL1
AGI-5198,KIF3A
AGI-5198,WNT10A
AGI-5198,TST
AGI-5198,CORO2A
AGI-5198,EPS8L2
AGI-5198,MZT2B
AGI-5198,GPRIN2
AGI-5198,ARMC9
AGI-5198,INO80E
AGI-5198,SLC51A
AGI-5198,PPP4C
AGI-5198,RAP2A
AGI-5198,ZFP28
AGI-5198,RBBP8
AGI-5198,EMR2
AGI-5198,FPR1
AGI-5198,UEVLD
AGI-5198,UBE2G2
AGI-5198,KLHDC3
AGI-5198,ZNF814
AGI-5198,LINC00085
AGI-5198,LCE2D
AGI-5198,PLEK2
AGI-5198,AXDND1
AGK2,MS4A1
AGK2,ST6GALNAC1
AGK2,SNAI3
AGK2,PRAMEF12
AGK2,UMOD
AGK2,Unnamed: 17547
AGK2,ZNF75D
AGK2,SIGIRR
AGK2,ZNF197
AGK2,CDH23
AGK2,DEAF1
AGK2,NPC1
AGK2,PPP1R3B
AGK2,TRBV10-2
AGK2,STX4
AGK2,NHLH2
AGK2,MANSC1
AGK2,DPT
AGK2,CNTN3
AGK2,ASZ1
AGK2,ZNF595
AGK2,WFIKKN2
AGK2,RIOK3
AGK2,FLG2
AGK2,TNNC2
AGK2,INSL4
AGK2,C3AR1
AGK2,ZNF780A
AGK2,TACR2
AGK2,ADPRH
AGK2,CRY2
AGK2,THOC5
AGK2,CD52
AGK2,CLDN20
AGK2,TCAIM
AGK2,FPR3
AGK2,OR56A3
AGK2,TMEM202
AGK2,SSU72P8
AGK2,FAM9B
AGK2,PHRF1
AGK2,CSRP2BP
AGK2,CNTD2
AGK2,PAGE2
AGK2,NAALADL2
AGK2,OR7G3
AGK2,HYI
AGK2,SOCS7
AGK2,FNDC9
AGK2,LARP7
AGK2,LAGE3
AGK2,WSCD2
AGK2,NEU3
AGK2,TSGA10
AGK2,ZSWIM2
AGK2,TNFSF8
AGK2,NSUN7
AGK2,NUP54
AGK2,NPL
AGK2,SLC22A14
AGK2,TTC9C
AGK2,FOPNL
AGK2,PNLIPRP2
AGK2,ELSPBP1
AGK2,C9
AGK2,GTF3C3
AGK2,TFF2
AGK2,RAB9B
AGK2,PHACTR1
AGK2,TADA2A
AGK2,OPCML
AGK2,N4BP2
AGK2,PSPC1
AGK2,RTDR1
AGK2,MAGEB4
AGK2,MRPL23
AGK2,EIF1AD
AGK2,BFSP1
AGK2,FAM50A
AGK2,CLDN14
AGK2,TMLHE
AGK2,KRTAP19-1
AGK2,ART1
AGK2,LINC00085
AGK2,DNTT
AGK2,ZNF718
AGK2,SOCS2
AGK2,SYNRG
AGK2,EPDR1
AGK2,SAG
AGK2,ACAN
AGK2,RNF150
AGK2,CCDC116
AGK2,MDGA1
AGK2,FBXO40
AGK2,ANP32D
AGK2,ABHD12B
AGK2,ZNF195
AGK2,PRKG1
AGK2,IGSF11
AMG-319,ATP8B2
AMG-319,COL5A1
AMG-319,PRAMEF2
AMG-319,CYP4F22
AMG-319,CENPT
AMG-319,PSPC1
AMG-319,R3HDM4
AMG-319,VPS4A
AMG-319,CALML5
AMG-319,FBXO39
AMG-319,PCOLCE
AMG-319,CMAS
AMG-319,KY
AMG-319,ALPK1
AMG-319,SRA1
AMG-319,LDHC
AMG-319,TMEM2
AMG-319,TBX21
AMG-319,AP1M2
AMG-319,OR10A7
AMG-319,GRPEL1
AMG-319,SYNGAP1
AMG-319,TXNDC15
AMG-319,CDH16
AMG-319,NDUFAF2
AMG-319,XRRA1
AMG-319,ARHGAP32
AMG-319,ESYT3
AMG-319,P2RX7
AMG-319,SLC35A4
AMG-319,MAP3K9
AMG-319,LENG8
AMG-319,GCSAM
AMG-319,CHCHD5
AMG-319,HSPBP1
AMG-319,CRB3
AMG-319,ZIC2
AMG-319,Unnamed: 13394
AMG-319,PDLIM7
AMG-319,ST3GAL2
AMG-319,CA4
AMG-319,PPP1R12C
AMG-319,Unnamed: 17697
AMG-319,Unnamed: 17166
AMG-319,RAG1
AMG-319,KRT19
AMG-319,CCL2
AMG-319,AGAP2
AMG-319,RNF166
AMG-319,VSIG1
AMG-319,MKNK1
AMG-319,ST14
AMG-319,MCHR1
AMG-319,ODF3B
AMG-319,C1orf228
AMG-319,PIGL
AMG-319,IL1RL2
AMG-319,ZNF311
AMG-319,GALNT14
AMG-319,KRTAP1-1
AMG-319,DUOX1
AMG-319,DDR2
AMG-319,Unnamed: 6603
AMG-319,ASMTL
AMG-319,P2RX4
AMG-319,Unnamed: 5904
AMG-319,CRNN
AMG-319,DMRT1
AMG-319,FAM46D
AMG-319,TRANK1
AMG-319,ATP5F1
AMG-319,HTR4
AMG-319,LMBRD1
AMG-319,PLAC9
AMG-319,PA2G4
AMG-319,HARS
AMG-319,TNNI1
AMG-319,CXCL6
AMG-319,KDELC1
AMG-319,RBMS3
AMG-319,IPCEF1
AMG-319,EHF
AMG-319,TAF13
AMG-319,SNAPC2
AMG-319,RNF122
AMG-319,CCR7
AMG-319,TFF2
AMG-319,PRPF31
AMG-319,DNAAF3
AMG-319,ARHGEF33
AMG-319,GIPC2
AMG-319,SIGLEC7
AMG-319,CENPP
AMG-319,GDPD2
AMG-319,PARP2
AMG-319,SLC51A
AMG-319,ZNF787
AMG-319,PTPN6
AMG-319,DDX19A
AMG-319,SLFN13
AT13148,TSPAN17
AT13148,TADA2A
AT13148,MGAT4B
AT13148,IKZF3
AT13148,SYNRG
AT13148,ZSCAN4
AT13148,RNF144A
AT13148,KCNJ4
AT13148,OSGEP
AT13148,INSL4
AT13148,PCOLCE
AT13148,ROS1
AT13148,CSNK1G2-AS1
AT13148,ST6GALNAC1
AT13148,KLF9
AT13148,ACVR1
AT13148,FPR3
AT13148,SBDS
AT13148,PKP2
AT13148,PRAMEF12
AT13148,DDX52
AT13148,TFF2
AT13148,DKK2
AT13148,TMEM86B
AT13148,CCRL2
AT13148,RBP2
AT13148,DBX2
AT13148,STX4
AT13148,NHLH2
AT13148,MED24
AT13148,EPPK1
AT13148,ASAP2
AT13148,FAM47A
AT13148,TMC2
AT13148,SLC6A14
AT13148,BCL6
AT13148,OR4D6
AT13148,TROVE2
AT13148,MS4A1
AT13148,BTBD17
AT13148,RGS18
AT13148,ENTPD8
AT13148,C1orf228
AT13148,TMEM167B
AT13148,TBX20
AT13148,ERN1
AT13148,CD52
AT13148,GTF2E1
AT13148,TNFSF8
AT13148,Unnamed: 17609
AT13148,SOCS7
AT13148,MOGAT3
AT13148,PSMG2
AT13148,WEE1
AT13148,CDC73
AT13148,CYFIP1
